scheme, band, l, c0, c1, c2, c3, c4, c5, c6, c7, c8
C, prism_b8, giant, 5.2116e-01, 2.2085e+00, -7.1758e-01, 4.7464e-01, -1.0635e-01, 0.0, 0.0, 0.0, 0.0
C, prism_b8, dwarf, 8.2964e-01, 4.6106e-01, 2.9519e+00, -2.8919e+00, 8.9579e-01, 0.0, 0.0, 0.0, 0.0
C, prism_b8, none, 7.2633e-01, 1.2994e+00, 6.2349e-01, -3.2358e-01, 5.7557e-02, 0.0, 0.0, 0.0, 0.0
C, prism_r8, giant, 1.2174e+00, -2.3399e-01, 1.8967e+00, -1.3275e+00, 2.8236e-01, 0.0, 0.0, 0.0, 0.0
C, prism_r8, dwarf, 1.1149e+00, 2.3666e-01, 1.6179e+00, -1.9217e+00, 7.0449e-01, 0.0, 0.0, 0.0, 0.0
C, prism_r8, none, 1.1585e+00, 1.2213e-01, 1.2705e+00, -9.1192e-01, 1.9073e-01, 0.0, 0.0, 0.0, 0.0
C, grism_b8, giant, 8.7573e-01, 8.6591e-01, 8.0146e-01, -5.5042e-01, 1.1091e-01, 0.0, 0.0, 0.0, 0.0
C, grism_b8, dwarf, 9.2266e-01, 4.3918e-01, 2.3581e+00, -2.6224e+00, 8.9838e-01, 0.0, 0.0, 0.0, 0.0
C, grism_b8, none, 8.9272e-01, 8.6040e-01, 7.4342e-01, -4.9039e-01, 9.5205e-02, 0.0, 0.0, 0.0, 0.0
C, grism_r8, giant, 1.7133e+00, -9.6101e-01, 2.1880e+00, -1.7282e+00, 3.9953e-01, 0.0, 0.0, 0.0, 0.0
C, grism_r8, dwarf, 1.5402e+00, 2.7573e-01, 4.4734e-01, -1.7416e+00, 1.0249e+00, 0.0, 0.0, 0.0, 0.0
C, grism_r8, none, 1.7031e+00, -5.3202e-01, 1.1731e+00, -9.6409e-01, 2.1891e-01, 0.0, 0.0, 0.0, 0.0
D, f062, giant, 8.5351e+01, -3.2899e+01, 4.9826e+00, -3.2157e-01, 7.6998e-03, 0.0, 0.0, 0.0, 0.0
D, f062, dwarf, 6.8180e+00, -1.7883e+00, 4.2076e-01, -2.7859e-02, 6.8324e-04, 0.0, 0.0, 0.0, 0.0
D, f062, none, 6.3737e+01, -2.4819e+01, 3.8678e+00, -2.5429e-01, 6.1983e-03, 0.0, 0.0, 0.0, 0.0
D, f087, giant, -1.1518e+02, 4.7023e+01, -6.8295e+00, 4.4464e-01, -1.0739e-02, 0.0, 0.0, 0.0, 0.0
D, f087, dwarf, -6.7926e+01, 2.9237e+01, -4.3428e+00, 2.9300e-01, -7.3309e-03, 0.0, 0.0, 0.0, 0.0
D, f087, none, -8.9943e+01, 3.8584e+01, -5.8255e+00, 3.9602e-01, -9.9772e-03, 0.0, 0.0, 0.0, 0.0
D, f106, giant, -1.9277e+02, 7.7994e+01, -1.1411e+01, 7.4217e-01, -1.7907e-02, 0.0, 0.0, 0.0, 0.0
D, f106, dwarf, -9.6267e+01, 4.1053e+01, -6.1601e+00, 4.1561e-01, -1.0399e-02, 0.0, 0.0, 0.0, 0.0
D, f106, none, -1.5010e+02, 6.3511e+01, -9.6491e+00, 6.5339e-01, -1.6400e-02, 0.0, 0.0, 0.0, 0.0
D, f129, giant, -2.4711e+02, 9.9712e+01, -1.4629e+01, 9.5136e-01, -2.2953e-02, 0.0, 0.0, 0.0, 0.0
D, f129, dwarf, -1.1897e+02, 5.0559e+01, -7.6261e+00, 5.1477e-01, -1.2886e-02, 0.0, 0.0, 0.0, 0.0
D, f129, none, -1.9194e+02, 8.0984e+01, -1.2349e+01, 8.3643e-01, -2.0999e-02, 0.0, 0.0, 0.0, 0.0
D, f146, giant, -2.6153e+02, 1.0551e+02, -1.5491e+01, 1.0075e+00, -2.4307e-02, 0.0, 0.0, 0.0, 0.0
